t_ms,step,beam,score,sum_logprob,logprobs_where,prefix_source,prefix_len,prefix_tail_ids,prefix,lock_remaining_len
1787448830701,3,1,-5.092678546905518,-5.092678546905518,args:1,args[0],26,"[94, 220, 19095, 116, 165, 16838, 2523, 100, 3316, 104, 50258, 50266, 50360, 50365, 41323, 15553]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷�,0
1787448830702,3,2,-5.197256088256836,-5.197256088256836,args:1,args[0],26,"[94, 220, 19095, 116, 165, 16838, 2523, 100, 3316, 104, 50258, 50266, 50360, 50365, 41323, 14694]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷害,0
1787448830719,4,0,-0.6723283529281616,-0.6723283529281616,args:1,args[0],27,"[220, 19095, 116, 165, 16838, 2523, 100, 3316, 104, 50258, 50266, 50360, 50365, 41323, 30986, 12444]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者,0
1787448830719,4,1,-1.1567034721374512,-1.1567034721374512,args:1,args[0],27,"[220, 19095, 116, 165, 16838, 2523, 100, 3316, 104, 50258, 50266, 50360, 50365, 41323, 15553, 229]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷症,0
1787448830719,4,2,-5.219202995300293,-5.219202995300293,args:1,args[0],27,"[220, 19095, 116, 165, 16838, 2523, 100, 3316, 104, 50258, 50266, 50360, 50365, 41323, 14694, 12444]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷害者,0
1787448830739,5,0,-0.6794319152832031,-0.6794319152832031,args:1,args[0],28,"[19095, 116, 165, 16838, 2523, 100, 3316, 104, 50258, 50266, 50360, 50365, 41323, 30986, 12444, 44756]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者発,0
1787448830739,5,1,-1.1567034721374512,-1.1567034721374512,args:1,args[0],28,"[19095, 116, 165, 16838, 2523, 100, 3316, 104, 50258, 50266, 50360, 50365, 41323, 30986, 12444, 220]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者,0
1787448830739,5,2,-6.765369415283203,-6.765369415283203,args:1,args[0],28,"[19095, 116, 165, 16838, 2523, 100, 3316, 104, 50258, 50266, 50360, 50365, 41323, 30986, 12444, 3065]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者は,0
1787448830757,6,0,-0.8729519844055176,-0.8729519844055176,args:1,args[0],29,"[116, 165, 16838, 2523, 100, 3316, 104, 50258, 50266, 50360, 50365, 41323, 30986, 12444, 44756, 10470]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者発見,0
1787448830757,6,1,-1.1768778562545776,-1.1768778562545776,args:1,args[0],29,"[116, 165, 16838, 2523, 100, 3316, 104, 50258, 50266, 50360, 50365, 41323, 30986, 12444, 220, 41323]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷,0
1787448830757,6,2,-4.349514484405518,-4.349514484405518,args:1,args[0],29,"[116, 165, 16838, 2523, 100, 3316, 104, 50258, 50266, 50360, 50365, 41323, 30986, 12444, 44756, 12009]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者発言,0
1787448830774,7,0,-1.1873775720596313,-1.1873775720596313,args:1,args[0],30,"[165, 16838, 2523, 100, 3316, 104, 50258, 50266, 50360, 50365, 41323, 30986, 12444, 44756, 10470, 220]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者発見,0
1787448830774,7,1,-2.0307765007019043,-2.0307765007019043,args:1,args[0],30,"[165, 16838, 2523, 100, 3316, 104, 50258, 50266, 50360, 50365, 41323, 30986, 12444, 220, 41323, 30986]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病,0
1787448830774,7,2,-2.5698390007019043,-2.5698390007019043,args:1,args[0],30,"[165, 16838, 2523, 100, 3316, 104, 50258, 50266, 50360, 50365, 41323, 30986, 12444, 44756, 10470, 1231]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者発見、,0
1787448830792,8,0,-1.5640652179718018,-1.5640652179718018,args:1,args[0],31,"[16838, 2523, 100, 3316, 104, 50258, 50266, 50360, 50365, 41323, 30986, 12444, 220, 41323, 30986, 12444]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者,0
1787448830792,8,1,-2.532815456390381,-2.532815456390381,args:1,args[0],31,"[16838, 2523, 100, 3316, 104, 50258, 50266, 50360, 50365, 41323, 30986, 12444, 44756, 10470, 220, 12560]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者発見 新,0
1787448830792,8,2,-2.631110191345215,-2.631110191345215,args:1,args[0],31,"[16838, 2523, 100, 3316, 104, 50258, 50266, 50360, 50365, 41323, 30986, 12444, 44756, 10470, 220, 7945]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者発見 心,0
1787448830808,9,0,-1.5640652179718018,-1.5640652179718018,args:1,args[0],32,"[2523, 100, 3316, 104, 50258, 50266, 50360, 50365, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者,0
1787448830809,9,1,-2.5412445068359375,-2.5412445068359375,args:1,args[0],32,"[2523, 100, 3316, 104, 50258, 50266, 50360, 50365, 41323, 30986, 12444, 220, 41323, 30986, 12444, 44756]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者発,0
1787448830809,9,2,-3.4559309482574463,-3.4559309482574463,args:1,args[0],32,"[2523, 100, 3316, 104, 50258, 50266, 50360, 50365, 41323, 30986, 12444, 44756, 10470, 220, 12560, 31021]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者発見 新南,0
1787448830826,10,0,-1.5834476947784424,-1.5834476947784424,args:1,args[0],33,"[100, 3316, 104, 50258, 50266, 50360, 50365, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者 傷,0
1787448830826,10,1,-2.8190102577209473,-2.8190102577209473,args:1,args[0],33,"[100, 3316, 104, 50258, 50266, 50360, 50365, 41323, 30986, 12444, 220, 41323, 30986, 12444, 44756, 10470]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者発見,0
1787448830826,10,2,-4.710813522338867,-4.710813522338867,args:1,args[0],33,"[100, 3316, 104, 50258, 50266, 50360, 50365, 41323, 30986, 12444, 44756, 10470, 220, 12560, 31021, 11319]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者発見 新南全,0
1787448830843,11,0,-1.6047619581222534,-1.6047619581222534,args:1,args[0],34,"[3316, 104, 50258, 50266, 50360, 50365, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者 傷病,0
1787448830843,11,1,-4.157532691955566,-4.157532691955566,args:1,args[0],34,"[3316, 104, 50258, 50266, 50360, 50365, 41323, 30986, 12444, 220, 41323, 30986, 12444, 44756, 10470, 220]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者発見,0
1787448830843,11,2,-4.384095191955566,-4.384095191955566,args:1,args[0],34,"[3316, 104, 50258, 50266, 50360, 50365, 41323, 30986, 12444, 44756, 10470, 220, 12560, 31021, 11319, 19]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者発見 新南全4,0
1787448830861,12,0,-1.7575888633728027,-1.7575888633728027,args:1,args[0],35,"[104, 50258, 50266, 50360, 50365, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者 傷病者,0
1787448830861,12,1,-4.331807613372803,-4.331807613372803,args:1,args[0],35,"[104, 50258, 50266, 50360, 50365, 41323, 30986, 12444, 220, 41323, 30986, 12444, 44756, 10470, 220, 12560]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者発見 新,0
1787448830861,12,2,-4.834206581115723,-4.834206581115723,args:1,args[0],35,"[104, 50258, 50266, 50360, 50365, 41323, 30986, 12444, 220, 41323, 30986, 12444, 44756, 10470, 220, 7945]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者発見 心,0
1787448830878,13,0,-1.7575888633728027,-1.7575888633728027,args:1,args[0],36,"[50258, 50266, 50360, 50365, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者 傷病者,0
1787448830878,13,1,-4.339747428894043,-4.339747428894043,args:1,args[0],36,"[50258, 50266, 50360, 50365, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 44756]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者 傷病者発,0
1787448830878,13,2,-5.773819446563721,-5.773819446563721,args:1,args[0],36,"[50258, 50266, 50360, 50365, 41323, 30986, 12444, 220, 41323, 30986, 12444, 44756, 10470, 220, 12560, 31021]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者発見 新南,0
1787448830896,14,0,-1.7745648622512817,-1.7745648622512817,args:1,args[0],37,"[50266, 50360, 50365, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者 傷病者 傷,0
1787448830896,14,1,-4.7069830894470215,-4.7069830894470215,args:1,args[0],37,"[50266, 50360, 50365, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 44756, 10470]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者 傷病者発見,0
1787448830896,14,2,-7.094877243041992,-7.094877243041992,args:1,args[0],37,"[50266, 50360, 50365, 41323, 30986, 12444, 220, 41323, 30986, 12444, 44756, 10470, 220, 12560, 31021, 11319]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者発見 新南全,0
1787448830914,15,0,-1.8015766143798828,-1.8015766143798828,args:1,args[0],38,"[50360, 50365, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者 傷病者 傷病,0
1787448830914,15,1,-6.137514114379883,-6.137514114379883,args:1,args[0],38,"[50360, 50365, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 44756, 10470, 220]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者 傷病者発見,0
1787448830914,15,2,-6.193742752075195,-6.193742752075195,args:1,args[0],38,"[50360, 50365, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 15553]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者 傷病者 傷�,0
1787448830934,16,0,-1.9192159175872803,-1.9192159175872803,args:1,args[0],39,"[50365, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者 傷病者 傷病者,0
1787448830934,16,1,-6.305934906005859,-6.305934906005859,args:1,args[0],39,"[50365, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 4035]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者 傷病者 傷病人,0
1787448830934,16,2,-6.4721598625183105,-6.4721598625183105,args:1,args[0],39,"[50365, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 44756, 10470, 220, 12560]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者 傷病者発見 新,0
1787448830951,17,0,-1.9192159175872803,-1.9192159175872803,args:1,args[0],40,"[41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者 傷病者 傷病者,0
1787448830951,17,1,-6.314325332641602,-6.314325332641602,args:1,args[0],40,"[41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 44756]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者 傷病者 傷病者発,0
1787448830951,17,2,-6.4721598625183105,-6.4721598625183105,args:1,args[0],40,"[41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 4035, 220]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者 傷病者 傷病人,0
1787448830969,18,0,-1.933776617050171,-1.933776617050171,args:1,args[0],41,"[30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者 傷病者 傷病者 傷,0
1787448830969,18,1,-6.486580848693848,-6.486580848693848,args:1,args[0],41,"[30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 44756, 10470]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者 傷病者 傷病者発見,0
1787448830969,18,2,-6.738526821136475,-6.738526821136475,args:1,args[0],41,"[30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 4035, 220, 41323]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者 傷病者 傷病人 傷,0
1787448830988,19,0,-1.961166501045227,-1.961166501045227,args:1,args[0],42,"[12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者 傷病者 傷病者 傷病,0
1787448830988,19,1,-6.1174163818359375,-6.1174163818359375,args:1,args[0],42,"[12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 4035, 220, 41323, 30986]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者 傷病者 傷病人 傷病,0
1787448830988,19,2,-6.609283447265625,-6.609283447265625,args:1,args[0],42,"[12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 44756, 10470, 220]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者 傷病者 傷病者発見,0
1787448831006,20,0,-2.090578317642212,-2.090578317642212,args:1,args[0],43,"[220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者 傷病者 傷病者 傷病者,0
1787448831006,20,1,-6.491033554077148,-6.491033554077148,args:1,args[0],43,"[220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 4035]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者 傷病者 傷病者 傷病人,0
1787448831006,20,2,-6.627687454223633,-6.627687454223633,args:1,args[0],43,"[220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 4035, 220, 41323, 30986, 12444]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者 傷病者 傷病人 傷病者,0
1787448831024,21,0,-2.090578317642212,-2.090578317642212,args:1,args[0],44,"[41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者 傷病者 傷病者 傷病者,0
1787448831024,21,1,-6.491033554077148,-6.491033554077148,args:1,args[0],44,"[41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 4035, 220]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者 傷病者 傷病者 傷病人,0
1787448831024,21,2,-6.654094696044922,-6.654094696044922,args:1,args[0],44,"[41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 28589]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者 傷病者 傷病者 傷病者 大,0
1787448831041,22,0,-2.103177547454834,-2.103177547454834,args:1,args[0],45,"[30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者 傷病者 傷病者 傷病者 傷,0
1787448831041,22,1,-6.504160404205322,-6.504160404205322,args:1,args[0],45,"[30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 4035, 220, 41323]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者 傷病者 傷病者 傷病人 傷,0
1787448831041,22,2,-6.779273509979248,-6.779273509979248,args:1,args[0],45,"[30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 28589, 39642]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者 傷病者 傷病者 傷病者 大丈夫,0
1787448831059,23,0,-2.129708766937256,-2.129708766937256,args:1,args[0],46,"[12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者 傷病者 傷病者 傷病者 傷病,0
1787448831059,23,1,-6.215646266937256,-6.215646266937256,args:1,args[0],46,"[12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 4035, 220, 41323, 30986]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者 傷病者 傷病者 傷病人 傷病,0
1787448831059,23,2,-6.6246466636657715,-6.6246466636657715,args:1,args[0],46,"[12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 28589, 39642, 30913]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者 傷病者 傷病者 傷病者 大丈夫ですか,0
1787448831077,24,0,-2.2682931423187256,-2.2682931423187256,args:1,args[0],47,"[220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者 傷病者 傷病者 傷病者 傷病者,0
1787448831077,24,1,-6.3132147789001465,-6.3132147789001465,args:1,args[0],47,"[220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 4035]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者 傷病者 傷病者 傷病者 傷病人,0
1787448831077,24,2,-6.6099090576171875,-6.6099090576171875,args:1,args[0],47,"[220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 4035, 220, 41323, 30986, 12444]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者 傷病者 傷病者 傷病人 傷病者,0
1787448831094,25,0,-2.2682931423187256,-2.2682931423187256,args:1,args[0],48,"[41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者 傷病者 傷病者 傷病者 傷病者,0
1787448831094,25,1,-6.336435794830322,-6.336435794830322,args:1,args[0],48,"[41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 28589]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者 傷病者 傷病者 傷病者 傷病者 大,0
1787448831094,25,2,-6.6099090576171875,-6.6099090576171875,args:1,args[0],48,"[41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 4035, 220]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者 傷病者 傷病者 傷病者 傷病人,0
1787448831111,26,0,-2.278581380844116,-2.278581380844116,args:1,args[0],49,"[30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者 傷病者 傷病者 傷病者 傷病者 傷,0
1787448831111,26,1,-6.454924583435059,-6.454924583435059,args:1,args[0],49,"[30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 28589, 39642]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者 傷病者 傷病者 傷病者 傷病者 大丈夫,0
1787448831111,26,2,-6.6209397315979,-6.6209397315979,args:1,args[0],49,"[30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 4035, 220, 41323]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者 傷病者 傷病者 傷病者 傷病人 傷,0
1787448831129,27,0,-2.3042807579040527,-2.3042807579040527,args:1,args[0],50,"[12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986, 12444, 220, 41323, 30986]",<|nospeech|> 傷病者 感染防御 胸骨圧迫<|startoftranscript|><|ja|><|startoflm|>傷病者 傷病者 傷病者 傷病者 傷病者 傷病者 傷病,0
